2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,대분류,구분,IPC코드
396.0,381.0,337.0,365.0,375.0,444.0,563.0,561.0,636.0,602.0,724.0,893.0,963.0,1085.0,1106.0,948.0,1016.0,956.0,931.0,960.0,856.0,962.0,1061.0,1282.0,1418,C,C22 야금; 철 또는 비합철금; 합금의 처리 또는 비철금속의 처리,C22
615.0,592.0,503.0,475.0,572.0,676.0,732.0,1041.0,892.0,793.0,996.0,1046.0,1232.0,1527.0,1356.0,962.0,1156.0,1285.0,1366.0,1263.0,1446.0,1546.0,1661.0,1512.0,1348,C,C23 금속재료의 피복; 금속피복재료; 화학적 표면처리; 금속질재료의 확산처리; 진공증착; 스퍼터링; 이온주입법 또는 화학 증착에 의한 피복 일반; 금속질재료의 방식 또는 이물질형성방지일반,C23
240.0,275.0,233.0,219.0,224.0,249.0,270.0,339.0,329.0,344.0,377.0,399.0,483.0,546.0,507.0,435.0,608.0,566.0,547.0,592.0,573.0,684.0,749.0,868.0,981,C,C25 전기분해 또는 전기 영동방법; 그것을 위한 장치,C25
86.0,99.0,104.0,84.0,80.0,105.0,96.0,119.0,133.0,239.0,231.0,291.0,211.0,294.0,202.0,121.0,125.0,146.0,156.0,179.0,181.0,166.0,197.0,247.0,203,C,C30 결정 성장,C30
,,,,,,3.0,1.0,1.0,,4.0,1.0,2.0,9.0,21.0,7.0,3.0,,,1.0,1.0,2.0,1.0,4.0,1,C,C40 조합된 기술,C40
226.0,226.0,257.0,230.0,254.0,262.0,259.0,270.0,265.0,300.0,367.0,250.0,281.0,368.0,381.0,337.0,388.0,342.0,346.0,304.0,322.0,290.0,302.0,310.0,256,D,D01 천연 또는 인조사 또는 섬유; 방적,D01
725.0,951.0,1170.0,1315.0,1656.0,1682.0,1267.0,1298.0,1235.0,1280.0,996.0,955.0,956.0,1132.0,1014.0,967.0,1115.0,1166.0,1166.0,1206.0,1190.0,1144.0,1093.0,1022.0,1082,D,D06 섬유 또는 유사물의 처리; 세탁; 타류에 속하지 아니한 가소성 재료,D06
208.0,178.0,164.0,167.0,192.0,243.0,220.0,315.0,254.0,185.0,162.0,163.0,162.0,185.0,207.0,176.0,196.0,201.0,194.0,205.0,209.0,180.0,196.0,214.0,174,D,D21 제지; 셀룰로스의 제조,D21
475.0,462.0,503.0,591.0,812.0,1159.0,1305.0,1387.0,1613.0,1800.0,1855.0,1808.0,1581.0,1666.0,1575.0,1579.0,1444.0,1515.0,1446.0,1597.0,1585.0,1546.0,1372.0,1332.0,1400,E,E01 도로; 철도 또는 교량의 건설,E01
547.0,579.0,604.0,763.0,1018.0,1703.0,1714.0,1870.0,1924.0,2052.0,1746.0,1763.0,1758.0,2084.0,1889.0,1814.0,1791.0,1773.0,1682.0,1648.0,1816.0,1709.0,1547.0,1549.0,1412,E,E02 기초; 수공; 토사의 이송,E02
