application_year,term,tf,df
2018,삭제 삭제 삭제 삭제,18,1
2018,삭제삭제삭제삭제,18,1
2018,서브 유닛,17,1
2018,서브유닛,17,1
2018,게이팅이온,16,1
2018,게이팅이온채널,16,1
2018,이온 채널,16,1
2018,이온채널,16,1
2018,인쇄 헤드,16,1
2018,인쇄헤드,16,1
2018,핵산 서열,15,1
2018,핵산서열,15,1
2018,ht,14,1
2018,키메라 lgic,14,1
2018,키메라lgic,14,1
2018,lgic 서브,13,1
2018,lgic 서브 유닛,13,1
2018,lgic서브,13,1
2018,lgic서브유닛,13,1
2018,간 드 게이,13,1
2018,간 드 게이 팅,13,1
2018,간드게이,13,1
2018,간드게이팅,13,1
2018,게이 팅,13,1
2018,게이 팅 이온,13,1
2018,게이 팅 이온 채널,13,1
2018,드 게이,13,1
2018,드 게이 팅,13,1
2018,드 게이 팅 이온,13,1
2018,드게이,13,1
2018,드게이팅,13,1
2018,드게이팅이온,13,1
2018,리 간 드 게이,13,1
2018,리간드게이,13,1
2018,어 도메인,13,1
2018,어도메인,13,1
2018,이온 포,13,1
2018,이온 포 어,13,1
2018,이온 포 어 도메인,13,1
2018,이온포,13,1
2018,이온포어,13,1
2018,이온포어도메인,13,1
2018,팅 이온,13,1
2018,팅 이온 채널,13,1
2018,팅이온,13,1
2018,팅이온채널,13,1
2018,포 어,13,1
2018,포 어 도메인,13,1
2018,포어도메인,13,1
2018,합성 외인,13,1
2018,합성외인,13,1
2018,nh,12,1
2018,기계시스템,12,1
2018,아세틸콜린 수용체,12,1
2018,아세틸콜린수용체,12,1
2018,lgic 리간드,11,1
2018,간 드 결합,11,1
2018,간 드 결합 도메인,11,1
2018,간드결합,11,1
2018,간드결합도메인,11,1
2018,결합 도메인,11,1
2018,결합도메인,11,1
2018,드 결합,11,1
2018,드 결합 도메인,11,1
2018,드결합,11,1
2018,드결합도메인,11,1
2018,리 간 드 결합,11,1
2018,리간드결합,11,1
2018,트로피 세트,11,1
2018,트로피세트,11,1
2018,포유동물 내,11,1
2018,포유동물내,11,1
2018,혈당증,11,1
2018,디아자비시클로,10,1
2018,아미노산 잔,10,1
2018,아미노산잔,10,1
2018,화합물,10,1
2018,d 인쇄,9,1
2018,d인쇄,9,1
2018,f 아미노산,9,1
2018,f 아미노산 치환,9,1
2018,f아미노산,9,1
2018,f아미노산치환,9,1
2018,방향족 치환,9,1
2018,방향족치환,9,1
2018,서열 동일,9,1
2018,서열동일,9,1
2018,퍼센트 서열,9,1
2018,퍼센트 서열 동일,9,1
2018,퍼센트서열,9,1
2018,퍼센트서열동일,9,1
2018,혈당 증,9,1
2018,ch,8,1
2018,syndrome,8,1
2018,tert,8,1
2018,tert-,8,1
2018,부틸아미노,8,1
2018,아자비시클로,8,1
2018,인 돌,8,1
2018,조성물,8,1
2018,테트라히드로,8,1
2018,트리플루오로메틸,8,1
2018,활성화합물,8,1
2018,ach,7,1
2018,g 아미노산,7,1
2018,g 아미노산 치환,7,1
2018,gaba ipd,7,1
2018,gabaipd,7,1
2018,g아미노산,7,1
2018,g아미노산치환,7,1
2018,lgic 리,7,1
2018,lgic 리 간,7,1
2018,lgic 리 간 드,7,1
2018,lgic리,7,1
2018,lgic리간,7,1
2018,글리신,7,1
2018,글리신수용체,7,1
2018,메타노,7,1
2018,세정 유닛,7,1
2018,세정유닛,7,1
2018,신 수용체,7,1
2018,신수용체,7,1
2018,아미노산 변형,7,1
2018,아미노산변형,7,1
2018,피라지노,7,1
2018,g175k,6,1
2018,glyr ipd,6,1
2018,glyripd,6,1
2018,y115f,6,1
2018,교세포,6,1
2018,근세포,6,1
2018,내분비세포,6,1
2018,면역세포,6,1
2018,베이스시스템,6,1
2018,벤즈아제핀,6,1
2018,세로토닌,6,1
2018,아미노산 서열,6,1
2018,아미노산서열,6,1
2018,이동 가능,6,1
2018,이동가능,6,1
2018,인슐린 저항,6,1
2018,인슐린저항,6,1
2018,줄기세포,6,1
2018,허용 가능,6,1
2018,허용가능,6,1
2018,iv,5,2
2018,피리딘,5,2
2018,a 치환,5,1
2018,a치환,5,1
2018,f 치환,5,1
2018,f치환,5,1
2018,q79g,5,1
2018,개 이상,5,1
2018,개이상,5,1
2018,글리 신,5,1
2018,글리 신 수용체,5,1
2018,벤즈아제 핀,5,1
2018,수용체 ipd,5,1
2018,수용체ipd,5,1
2018,이온 수송,5,1
2018,이온수송,5,1
2018,acanthosis,4,1
2018,donohue,4,1
2018,hyperandrogenism,4,1
2018,k 아미노산,4,1
2018,k 아미노산 치환,4,1
2018,k아미노산,4,1
2018,k아미노산치환,4,1
2018,leprechaunism,4,1
2018,lgic 리간드가,4,1
2018,lgic리간드가,4,1
2018,lipodystrophy,4,1
2018,nigrican,4,1
2018,ph,4,1
2018,qt,4,1
2018,w77f,4,1
2018,가시세포,4,1
2018,동물세포,4,1
2018,동형 체성,4,1
2018,동형 체성 키메라,4,1
2018,동형체성,4,1
2018,동형체성키메라,4,1
2018,뮤 린,4,1
2018,아미노부티르산,4,1
2018,여과시스템,4,1
2018,이온 전도,4,1
2018,이온 전도 도,4,1
2018,이온전도,4,1
2018,이온전도도,4,1
2018,이의 약제,4,1
2018,이의 약제 학,4,1
2018,이의약제,4,1
2018,이의약제학,4,1
2018,인성 lgic,4,1
2018,인성lgic,4,1
2018,인쇄 베이스,4,1
2018,인쇄베이스,4,1
2018,전도 도,4,1
2018,전도도,4,1
2018,채널 병증,4,1
2018,채널병증,4,1
2018,체성 키메라,4,1
2018,체성키메라,4,1
2018,퀴누클리 딘,4,1
2018,클로 로,4,1
2018,클로로,4,1
2018,포유 동물,4,1
2018,포유동물세포,4,1
2018,ii,3,2
2018,iii,3,2
2018,r2,3,2
2018,d 인쇄 기계,3,1
2018,d 치환,3,1
2018,d인쇄기계,3,1
2018,d치환,3,1
2018,e41r,3,1
2018,ipd 내,3,1
2018,ipd내,3,1
2018,l131g,3,1
2018,l131m,3,1
2018,lgic리간드가트로판,3,1
2018,nme,3,1
2018,pha,3,1
2018,pha-543613,3,1
2018,pnu,3,1
2018,pnu-282987,3,1
2018,q1,3,1
2018,q139g,3,1
2018,q139l,3,1
2018,r27d,3,1
2018,ra,3,1
